Place,Location,Review
Chef Pillai,Kochi,My family and I had the opportunity to dine in at Chef Pillai’s Restaurant in Kochi for lunch. We were very impressed with the quality and variety of the food options we had. The portion size was very good for the price and we still had …
Chef Pillai,Kochi,"We dined at Chef Pillai in Le Meridien Kochi and had the Fish Nirvana, which was truly enjoyable. The dish was well-prepared and flavorful, living up to the restaurant's reputation for quality. While the overall dining experience is on the …"
Chef Pillai,Kochi,"We had a family lunch at Chef Pillai. They have elevated the Kerala traditional cuisine to a new level with special flavours and food presentation.  While some of the dishes we ordered tasted as expected, there surely was a “Wow” factor in a few of Chef Pillai’s creations."
Chef Pillai,Kochi,"Didnt feel worthy of amount paid for 5.
Food served was pure gimmick- the art of plating applied here. Quality maintained, But simple things served in fusion. …"
Chef Pillai,Kochi,"Pure bliss! The food is not very spicy (like the usual Kerala cosine. A bit sweet. The ambience is excellent. Must try items- Pazhampori chat, vendal paal konch, injipuli chicken wings and 5 star dish - unniyappam then muttai falooda"
Chef Pillai,Kochi,"Place had a good vibe about it, tried to figure out some veg options in the menu even though it is predominantly aligned towards other dishes. …"
Chef Pillai,Kochi,"chef pillai,
It's been a wonderful experience with chef pillai restaurant. Wonderful ambience and yummy 😋 food. Mr. Saran helped us  to choose the best. And his service was excellent. Overall a wonderful experience with the team.
Well done team 💪👏 …"
Chef Pillai,Kochi,"The renowned Chef Pillai takes food and hospitality to another level. The Fish Nirvana dish was exceptional; I’ve never tasted such an amazing fish curry before. Their Unniyappam Falooda was extraordinary, offering a delightful Kerala twist …"
Chef Pillai,Kochi,"Food was great as expected. We recommend to try the varieties here at Chef Pillai. Saran and Abhishek took care of our very well, recommending us some of the best cuisines."
Chef Pillai,Kochi,Expected better taste however it turned out to be an average / below Avg.  experience. Tried Chef’s signatures and few A la carte however not impressed with the tastes. Quality of the products and ingredients seems great. Taste wise just an average. Calicut Paragon > Chef Pillai in-terms of the taste.
District 7,Kochi,The food was good and delicious and they have a lot of Continental Items to choose from. Being such a shop in Kerala is a fancy idea and to keep up is indeed a good job. …
District 7,Kochi,"A Cozy Culinary Retreat, this cute little diner offers a comfortable atmosphere perfect for a laid-back meal. Though they have a larger location in Kadavanthara, this intimate setting has its own appeal. …"
District 7,Kochi,"District 7 - Restro Cafe offers a delightful dining experience with a cozy ambiance and an appealing menu. Located in a bustling part of town, this cafe stands out for its fusion cuisine and inviting atmosphere. …"
District 7,Kochi,"Had a great experience here. The food was great, the service was good and you have a handful of games to play to kill some time for the food to arrive. The Die na Mite fries are a must try!! Overall we had a great time here."
District 7,Kochi,"Food is nice. Expect Rs 400 - 600 per person. Ambience could have been better, but acceptable."
District 7,Kochi,"Great ambience and great service. Had Dynamite fries, steak, beef pies and mojitos. …"
District 7,Kochi,"Loved the food. Great service and ambience.Beef steak with red wine sauce, chicken steak with lemon garlic sauce were really good ! Perfectly done"
District 7,Kochi,Nice Food Items and a place to chill with Board Games with Friends and Family. Open till 1 AM
District 7,Kochi,"District 7 Restoration Cafe is a fantastic spot for late-night cravings. I recently popped in at 2 am and treated myself to their delicious burger and refreshing mojitos. The burger was cooked to perfection, juicy and flavorful, while the …"
District 7,Kochi,"I've been here thrice, twice the place was full and I stood there inside like an invisible person thinking someone from the cafe would tell me ""Please you may wait outside there are benches outside and give us the order now, meanwhile a …"
Oottupura,Kochi,"Gokul Oottupura in Panampilly Nagar is a fantastic vegetarian hotel! The ambiance is excellent, and the food is delicious. We thoroughly enjoyed the vegetarian options. However, be prepared for a challenge finding parking and a seat, as the …"
